rawContent,status,label,caseFolding,cleaning,tokenizing,stopword,normalized,stemmed
Mohon maaf pihak monton harap memperbaiki prihal bug yg terjadi saat dalam pertandingan sering jalan sendiri macet trs tiba-tiba setingan berubah sendiri harap di tingkat kan LG mohon kerjasamanya ðŸ™ðŸ™ðŸ™,2,Negatif,mohon maaf pihak monton harap memperbaiki prihal bug yg terjadi saat dalam pertandingan sering jalan sendiri macet trs tiba-tiba setingan berubah sendiri harap di tingkat kan lg mohon kerjasamanya ðÿ™ðÿ™ðÿ™,mohon maaf pihak monton harap memperbaiki prihal bug yg terjadi saat dalam pertandingan sering jalan sendiri macet trs tiba tiba setingan berubah sendiri harap di tingkat kan lg mohon kerjasamanya ðÿ™ðÿ™ðÿ™,"['mohon', 'maaf', 'pihak', 'monton', 'harap', 'memperbaiki', 'prihal', 'bug', 'yg', 'terjadi', 'saat', 'dalam', 'pertandingan', 'sering', 'jalan', 'sendiri', 'macet', 'trs', 'tiba', 'tiba', 'setingan', 'berubah', 'sendiri', 'harap', 'di', 'tingkat', 'kan', 'lg', 'mohon', 'kerjasamanya', 'ðÿ™\uf18fðÿ™\uf18fðÿ™\uf18f']","['mohon', 'maaf', 'monton', 'harap', 'memperbaiki', 'prihal', 'bug', 'yg', 'pertandingan', 'jalan', 'macet', 'trs', 'setingan', 'berubah', 'harap', 'tingkat', 'lg', 'mohon', 'kerjasamanya', 'ðÿ™\uf18fðÿ™\uf18fðÿ™\uf18f']","['mohon', 'maaf', 'monton', 'harap', 'memperbaiki', 'prihal', 'bug', 'yg', 'pertandingan', 'jalan', 'macet', 'trs', 'setingan', 'berubah', 'harap', 'tingkat', 'lg', 'mohon', 'kerjasamanya', 'ðÿ™\uf18fðÿ™\uf18fðÿ™\uf18f']","['mohon', 'maaf', 'monton', 'harap', 'baik', 'prihal', 'bug', 'yg', 'tanding', 'jalan', 'macet', 'trs', 'ting', 'ubah', 'harap', 'tingkat', 'lg', 'mohon', 'kerjasamanya', '']"
yg komen bgus fix mentalnya kena kecewa sama draf sistemnya.,2,Negatif,yg komen bgus fix mentalnya kena kecewa sama draf sistemnya.,yg komen bgus fix mentalnya kena kecewa sama draf sistemnya,"['yg', 'komen', 'bgus', 'fix', 'mentalnya', 'kena', 'kecewa', 'sama', 'draf', 'sistemnya']","['yg', 'komen', 'bgus', 'fix', 'mentalnya', 'kena', 'kecewa', 'draf', 'sistemnya']","['yg', 'komen', 'bgus', 'fix', 'mentalnya', 'kena', 'kecewa', 'draf', 'sistemnya']","['yg', 'komen', 'bgus', 'fix', 'mental', 'kena', 'kecewa', 'draf', 'sistem']"
Seberapa banyak lu kasih skin gratis ke kita kita pasti pindah ke Honor of King kita semua cape dapat tim jelek rata rata bocil jokian yg main bb Ga ada yang mau main game lu lagi kecuali para bocil jokian sama penjoki,2,Negatif,seberapa banyak lu kasih skin gratis ke kita kita pasti pindah ke honor of king kita semua cape dapat tim jelek rata rata bocil jokian yg main bb ga ada yang mau main game lu lagi kecuali para bocil jokian sama penjoki,seberapa banyak lu kasih skin gratis ke kita kita pasti pindah ke honor of king kita semua cape dapat tim jelek rata rata bocil jokian yg main bb ga ada yang mau main game lu lagi kecuali para bocil jokian sama penjoki,"['seberapa', 'banyak', 'lu', 'kasih', 'skin', 'gratis', 'ke', 'kita', 'kita', 'pasti', 'pindah', 'ke', 'honor', 'of', 'king', 'kita', 'semua', 'cape', 'dapat', 'tim', 'jelek', 'rata', 'rata', 'bocil', 'jokian', 'yg', 'main', 'bb', 'ga', 'ada', 'yang', 'mau', 'main', 'game', 'lu', 'lagi', 'kecuali', 'para', 'bocil', 'jokian', 'sama', 'penjoki']","['lu', 'kasih', 'skin', 'gratis', 'pindah', 'honor', 'of', 'king', 'cape', 'tim', 'jelek', 'bocil', 'jokian', 'yg', 'main', 'bb', 'ga', 'main', 'game', 'lu', 'kecuali', 'bocil', 'jokian', 'penjoki']","['lu', 'kasih', 'skin', 'gratis', 'pindah', 'honor', 'of', 'king', 'cape', 'tim', 'jelek', 'bocil', 'jokian', 'yg', 'main', 'bb', 'ga', 'main', 'game', 'lu', 'kecuali', 'bocil', 'jokian', 'penjoki']","['lu', 'kasih', 'skin', 'gratis', 'pindah', 'honor', 'of', 'king', 'cape', 'tim', 'jelek', 'bocil', 'joki', 'yg', 'main', 'bb', 'ga', 'main', 'game', 'lu', 'kecuali', 'bocil', 'joki', 'joki']"
Kalau ada player afk atau feed kashi hukuman yang lebih berat dong cape ketemu orang orang begituan,2,Negatif,kalau ada player afk atau feed kashi hukuman yang lebih berat dong cape ketemu orang orang begituan,kalau ada player afk atau feed kashi hukuman yang lebih berat dong cape ketemu orang orang begituan,"['kalau', 'ada', 'player', 'afk', 'atau', 'feed', 'kashi', 'hukuman', 'yang', 'lebih', 'berat', 'dong', 'cape', 'ketemu', 'orang', 'orang', 'begituan']","['player', 'afk', 'feed', 'kashi', 'hukuman', 'berat', 'cape', 'ketemu', 'orang', 'orang', 'begituan']","['player', 'afk', 'feed', 'kashi', 'hukuman', 'berat', 'cape', 'ketemu', 'orang', 'orang', 'begituan']","['player', 'afk', 'feed', 'kashi', 'hukum', 'berat', 'cape', 'ketemu', 'orang', 'orang', 'begitu']"
Malah nambah Stress,2,Negatif,malah nambah stress,malah nambah stress,"['malah', 'nambah', 'stress']","['nambah', 'stress']","['nambah', 'stress']","['nambah', 'stress']"
Game ny burik gk guna ngasih tim yg bot game tolol,2,Negatif,game ny burik gk guna ngasih tim yg bot game tolol,game ny burik gk guna ngasih tim yg bot game tolol,"['game', 'ny', 'burik', 'gk', 'guna', 'ngasih', 'tim', 'yg', 'bot', 'game', 'tolol']","['game', 'ny', 'burik', 'gk', 'ngasih', 'tim', 'yg', 'bot', 'game', 'tolol']","['game', 'ny', 'burik', 'gk', 'ngasih', 'tim', 'yg', 'bot', 'game', 'tolol']","['game', 'ny', 'burik', 'gk', 'ngasih', 'tim', 'yg', 'bot', 'game', 'tolol']"
Plis dong kalo mvp jangan cuman di lihat dari kill Dead and asist nya doang liat juga koin nya level nya cara bermain nya Gk adil mana saya sering gk dapet asist Padahal selalu bantuin tim buat ngekill,2,Negatif,plis dong kalo mvp jangan cuman di lihat dari kill dead and asist nya doang liat juga koin nya level nya cara bermain nya gk adil mana saya sering gk dapet asist padahal selalu bantuin tim buat ngekill,plis dong kalo mvp jangan cuman di lihat dari kill dead and asist nya doang liat juga koin nya level nya cara bermain nya gk adil mana saya sering gk dapet asist padahal selalu bantuin tim buat ngekill,"['plis', 'dong', 'kalo', 'mvp', 'jangan', 'cuman', 'di', 'lihat', 'dari', 'kill', 'dead', 'and', 'asist', 'nya', 'doang', 'liat', 'juga', 'koin', 'nya', 'level', 'nya', 'cara', 'bermain', 'nya', 'gk', 'adil', 'mana', 'saya', 'sering', 'gk', 'dapet', 'asist', 'padahal', 'selalu', 'bantuin', 'tim', 'buat', 'ngekill']","['plis', 'kalo', 'mvp', 'cuman', 'lihat', 'kill', 'dead', 'and', 'asist', 'nya', 'doang', 'liat', 'koin', 'nya', 'level', 'nya', 'bermain', 'nya', 'gk', 'adil', 'gk', 'dapet', 'asist', 'bantuin', 'tim', 'ngekill']","['plis', 'kalo', 'mvp', 'cuman', 'lihat', 'kill', 'dead', 'and', 'asist', 'nya', 'doang', 'liat', 'koin', 'nya', 'level', 'nya', 'bermain', 'nya', 'gk', 'adil', 'gk', 'dapet', 'asist', 'bantuin', 'tim', 'ngekill']","['plis', 'kalo', 'mvp', 'cuman', 'lihat', 'kill', 'dead', 'and', 'asist', 'nya', 'doang', 'liat', 'koin', 'nya', 'level', 'nya', 'main', 'nya', 'gk', 'adil', 'gk', 'dapet', 'asist', 'bantuin', 'tim', 'ngekill']"
Di tempat saya jaringannya kadang hilang jadi tolong untuk developer menambah batas pemulihan kredit skor dari 3 ke 6 karena tingkat pengurangan kredit skor sangat tinggi apalagi kalau kena report,2,Negatif,di tempat saya jaringannya kadang hilang jadi tolong untuk developer menambah batas pemulihan kredit skor dari 3 ke 6 karena tingkat pengurangan kredit skor sangat tinggi apalagi kalau kena report,di tempat saya jaringannya kadang hilang jadi tolong untuk developer menambah batas pemulihan kredit skor dari ke karena tingkat pengurangan kredit skor sangat tinggi apalagi kalau kena report,"['di', 'tempat', 'saya', 'jaringannya', 'kadang', 'hilang', 'jadi', 'tolong', 'untuk', 'developer', 'menambah', 'batas', 'pemulihan', 'kredit', 'skor', 'dari', 'ke', 'karena', 'tingkat', 'pengurangan', 'kredit', 'skor', 'sangat', 'tinggi', 'apalagi', 'kalau', 'kena', 'report']","['jaringannya', 'kadang', 'hilang', 'tolong', 'developer', 'menambah', 'batas', 'pemulihan', 'kredit', 'skor', 'tingkat', 'pengurangan', 'kredit', 'skor', 'kena', 'report']","['jaringannya', 'kadang', 'hilang', 'tolong', 'developer', 'menambah', 'batas', 'pemulihan', 'kredit', 'skor', 'tingkat', 'pengurangan', 'kredit', 'skor', 'kena', 'report']","['jaring', 'kadang', 'hilang', 'tolong', 'developer', 'tambah', 'batas', 'pulih', 'kredit', 'skor', 'tingkat', 'kurang', 'kredit', 'skor', 'kena', 'report']"
kalo ngasih tim itu yg bener dong monton masak gw maen lose 15Ã— win cuman 5Ã— gema apaan tiap maen selalu di kasih tim yg TOLOL mulu paan kanjingud,2,Negatif,kalo ngasih tim itu yg bener dong monton masak gw maen lose 15ã— win cuman 5ã— gema apaan tiap maen selalu di kasih tim yg tolol mulu paan kanjingud,kalo ngasih tim itu yg bener dong monton masak gw maen lose ã— win cuman ã— gema apaan tiap maen selalu di kasih tim yg tolol mulu paan kanjingud,"['kalo', 'ngasih', 'tim', 'itu', 'yg', 'bener', 'dong', 'monton', 'masak', 'gw', 'maen', 'lose', 'ã—', 'win', 'cuman', 'ã—', 'gema', 'apaan', 'tiap', 'maen', 'selalu', 'di', 'kasih', 'tim', 'yg', 'tolol', 'mulu', 'paan', 'kanjingud']","['kalo', 'ngasih', 'tim', 'yg', 'bener', 'monton', 'masak', 'gw', 'maen', 'lose', 'ã—', 'win', 'cuman', 'ã—', 'gema', 'maen', 'kasih', 'tim', 'yg', 'tolol', 'mulu', 'paan', 'kanjingud']","['kalo', 'ngasih', 'tim', 'yg', 'bener', 'monton', 'masak', 'gw', 'maen', 'lose', 'ã—', 'win', 'cuman', 'ã—', 'gema', 'maen', 'kasih', 'tim', 'yg', 'tolol', 'mulu', 'paan', 'kanjingud']","['kalo', 'ngasih', 'tim', 'yg', 'bener', 'monton', 'masak', 'gw', 'maen', 'lose', '', 'win', 'cuman', '', 'gema', 'maen', 'kasih', 'tim', 'yg', 'tolol', 'mulu', 'paan', 'kanjingud']"
Kurang bagus,2,Negatif,kurang bagus,kurang bagus,"['kurang', 'bagus']",['bagus'],['bagus'],['bagus']
menurut saya game ini harus di kembangkang lagi deh karna game ini suka gak jelas harus download secara tiba tiba jaringan sih paling parah lag banget padahal jaringan 70ms kebawah tapi kaya 201 ms jadi tolong perbaiki atau saya pindah game ke saja,2,Negatif,menurut saya game ini harus di kembangkang lagi deh karna game ini suka gak jelas harus download secara tiba tiba jaringan sih paling parah lag banget padahal jaringan 70ms kebawah tapi kaya 201 ms jadi tolong perbaiki atau saya pindah game ke saja,menurut saya game ini harus di kembangkang lagi deh karna game ini suka gak jelas harus download secara tiba tiba jaringan sih paling parah lag banget padahal jaringan ms kebawah tapi kaya ms jadi tolong perbaiki atau saya pindah game ke saja,"['menurut', 'saya', 'game', 'ini', 'harus', 'di', 'kembangkang', 'lagi', 'deh', 'karna', 'game', 'ini', 'suka', 'gak', 'jelas', 'harus', 'download', 'secara', 'tiba', 'tiba', 'jaringan', 'sih', 'paling', 'parah', 'lag', 'banget', 'padahal', 'jaringan', 'ms', 'kebawah', 'tapi', 'kaya', 'ms', 'jadi', 'tolong', 'perbaiki', 'atau', 'saya', 'pindah', 'game', 'ke', 'saja']","['game', 'kembangkang', 'deh', 'karna', 'game', 'suka', 'gak', 'download', 'jaringan', 'sih', 'parah', 'lag', 'banget', 'jaringan', 'ms', 'kebawah', 'kaya', 'ms', 'tolong', 'perbaiki', 'pindah', 'game']","['game', 'kembangkang', 'deh', 'karna', 'game', 'suka', 'gak', 'download', 'jaringan', 'sih', 'parah', 'lag', 'banget', 'jaringan', 'ms', 'kebawah', 'kaya', 'ms', 'tolong', 'perbaiki', 'pindah', 'game']","['game', 'kembangkang', 'deh', 'karna', 'game', 'suka', 'gak', 'download', 'jaring', 'sih', 'parah', 'lag', 'banget', 'jaring', 'ms', 'bawah', 'kaya', 'ms', 'tolong', 'baik', 'pindah', 'game']"
Sinyal bgus kok tibaÂ² jadi merah gamenya gak enak bgt sekrg,2,Negatif,sinyal bgus kok tibaâ² jadi merah gamenya gak enak bgt sekrg,sinyal bgus kok tibaâ² jadi merah gamenya gak enak bgt sekrg,"['sinyal', 'bgus', 'kok', 'tibaâ²', 'jadi', 'merah', 'gamenya', 'gak', 'enak', 'bgt', 'sekrg']","['sinyal', 'bgus', 'tibaâ²', 'merah', 'gamenya', 'gak', 'enak', 'bgt', 'sekrg']","['sinyal', 'bgus', 'tibaâ²', 'merah', 'gamenya', 'gak', 'enak', 'bgt', 'sekrg']","['sinyal', 'bgus', 'tiba', 'merah', 'gamenya', 'gak', 'enak', 'bgt', 'sekrg']"
Game apa nih pilih kasih kda gw aja 7.3.4 Di kasih coklat sedangkan temen gw mm kda 1.8.4 silver pilih kasih banget,2,Negatif,game apa nih pilih kasih kda gw aja 7.3.4 di kasih coklat sedangkan temen gw mm kda 1.8.4 silver pilih kasih banget,game apa nih pilih kasih kda gw aja di kasih coklat sedangkan temen gw mm kda silver pilih kasih banget,"['game', 'apa', 'nih', 'pilih', 'kasih', 'kda', 'gw', 'aja', 'di', 'kasih', 'coklat', 'sedangkan', 'temen', 'gw', 'mm', 'kda', 'silver', 'pilih', 'kasih', 'banget']","['game', 'nih', 'pilih', 'kasih', 'kda', 'gw', 'aja', 'kasih', 'coklat', 'temen', 'gw', 'mm', 'kda', 'silver', 'pilih', 'kasih', 'banget']","['game', 'nih', 'pilih', 'kasih', 'kda', 'gw', 'aja', 'kasih', 'coklat', 'temen', 'gw', 'mm', 'kda', 'silver', 'pilih', 'kasih', 'banget']","['game', 'nih', 'pilih', 'kasih', 'kda', 'gw', 'aja', 'kasih', 'coklat', 'temen', 'gw', 'mm', 'kda', 'silver', 'pilih', 'kasih', 'banget']"
halo min saya kasih bintang 4 untuk game ini. Game ini sudah bagus dari segi grafis apalagi yang iltra udah bagus banget. Heronya juga gak ada bug lagi yang aku temui,4,Positif,halo min saya kasih bintang 4 untuk game ini. game ini sudah bagus dari segi grafis apalagi yang iltra udah bagus banget. heronya juga gak ada bug lagi yang aku temui,halo min saya kasih bintang untuk game ini game ini sudah bagus dari segi grafis apalagi yang iltra udah bagus banget heronya juga gak ada bug lagi yang aku temui,"['halo', 'min', 'saya', 'kasih', 'bintang', 'untuk', 'game', 'ini', 'game', 'ini', 'sudah', 'bagus', 'dari', 'segi', 'grafis', 'apalagi', 'yang', 'iltra', 'udah', 'bagus', 'banget', 'heronya', 'juga', 'gak', 'ada', 'bug', 'lagi', 'yang', 'aku', 'temui']","['halo', 'min', 'kasih', 'bintang', 'game', 'game', 'bagus', 'segi', 'grafis', 'iltra', 'udah', 'bagus', 'banget', 'heronya', 'gak', 'bug', 'temui']","['halo', 'min', 'kasih', 'bintang', 'game', 'game', 'bagus', 'segi', 'grafis', 'iltra', 'udah', 'bagus', 'banget', 'heronya', 'gak', 'bug', 'temui']","['halo', 'min', 'kasih', 'bintang', 'game', 'game', 'bagus', 'segi', 'grafis', 'iltra', 'udah', 'bagus', 'banget', 'hero', 'gak', 'bug', 'temu']"
sejauh ini mobile legend bagus. Dan menurutku mlbb adalah permainan moba terbaik. Ada banyak sekali hero dengan berbagai role yang pengguna bisa kuasai,4,Positif,sejauh ini mobile legend bagus. dan menurutku mlbb adalah permainan moba terbaik. ada banyak sekali hero dengan berbagai role yang pengguna bisa kuasai,sejauh ini mobile legend bagus dan menurutku mlbb adalah permainan moba terbaik ada banyak sekali hero dengan berbagai role yang pengguna bisa kuasai,"['sejauh', 'ini', 'mobile', 'legend', 'bagus', 'dan', 'menurutku', 'mlbb', 'adalah', 'permainan', 'moba', 'terbaik', 'ada', 'banyak', 'sekali', 'hero', 'dengan', 'berbagai', 'role', 'yang', 'pengguna', 'bisa', 'kuasai']","['mobile', 'legend', 'bagus', 'menurutku', 'mlbb', 'permainan', 'moba', 'terbaik', 'hero', 'role', 'pengguna', 'kuasai']","['mobile', 'legend', 'bagus', 'menurutku', 'mlbb', 'permainan', 'moba', 'terbaik', 'hero', 'role', 'pengguna', 'kuasai']","['mobile', 'legend', 'bagus', 'turut', 'mlbb', 'main', 'moba', 'baik', 'hero', 'role', 'guna', 'kuasa']"
Aku suka banget dari sistem sudah bagus. Mobile legend moba terbaik,4,Positif,aku suka banget dari sistem sudah bagus. mobile legend moba terbaik,aku suka banget dari sistem sudah bagus mobile legend moba terbaik,"['aku', 'suka', 'banget', 'dari', 'sistem', 'sudah', 'bagus', 'mobile', 'legend', 'moba', 'terbaik']","['suka', 'banget', 'sistem', 'bagus', 'mobile', 'legend', 'moba', 'terbaik']","['suka', 'banget', 'sistem', 'bagus', 'mobile', 'legend', 'moba', 'terbaik']","['suka', 'banget', 'sistem', 'bagus', 'mobile', 'legend', 'moba', 'baik']"
game nya sangat bagus menarik dan bisa membuat kita berpikir strategi,4,Positif,game nya sangat bagus menarik dan bisa membuat kita berpikir strategi,game nya sangat bagus menarik dan bisa membuat kita berpikir strategi,"['game', 'nya', 'sangat', 'bagus', 'menarik', 'dan', 'bisa', 'membuat', 'kita', 'berpikir', 'strategi']","['game', 'nya', 'bagus', 'menarik', 'berpikir', 'strategi']","['game', 'nya', 'bagus', 'menarik', 'berpikir', 'strategi']","['game', 'nya', 'bagus', 'tarik', 'pikir', 'strategi']"
game ini adalah game favoritku dari dulu semoga game ini terus berkembang dan memperbanyak hero dan skinnya agar memiliki pengguna yang lebih banyak,4,Positif,game ini adalah game favoritku dari dulu semoga game ini terus berkembang dan memperbanyak hero dan skinnya agar memiliki pengguna yang lebih banyak,game ini adalah game favoritku dari dulu semoga game ini terus berkembang dan memperbanyak hero dan skinnya agar memiliki pengguna yang lebih banyak,"['game', 'ini', 'adalah', 'game', 'favoritku', 'dari', 'dulu', 'semoga', 'game', 'ini', 'terus', 'berkembang', 'dan', 'memperbanyak', 'hero', 'dan', 'skinnya', 'agar', 'memiliki', 'pengguna', 'yang', 'lebih', 'banyak']","['game', 'game', 'favoritku', 'semoga', 'game', 'berkembang', 'memperbanyak', 'hero', 'skinnya', 'memiliki', 'pengguna']","['game', 'game', 'favoritku', 'semoga', 'game', 'berkembang', 'memperbanyak', 'hero', 'skinnya', 'memiliki', 'pengguna']","['game', 'game', 'favorit', 'moga', 'game', 'kembang', 'banyak', 'hero', 'skinnya', 'milik', 'guna']"
terima kasih mobile legends. Sejauh ini masih jadi game terbaik meski banyak saingan game sesama moba baru,4,Positif,terima kasih mobile legends. sejauh ini masih jadi game terbaik meski banyak saingan game sesama moba baru,terima kasih mobile legends sejauh ini masih jadi game terbaik meski banyak saingan game sesama moba baru,"['terima', 'kasih', 'mobile', 'legends', 'sejauh', 'ini', 'masih', 'jadi', 'game', 'terbaik', 'meski', 'banyak', 'saingan', 'game', 'sesama', 'moba', 'baru']","['terima', 'kasih', 'mobile', 'legends', 'game', 'terbaik', 'saingan', 'game', 'moba']","['terima', 'kasih', 'mobile', 'legends', 'game', 'terbaik', 'saingan', 'game', 'moba']","['terima', 'kasih', 'mobile', 'legends', 'game', 'baik', 'saing', 'game', 'moba']"
gamenya bagus. Mudah dimainkan banyak pilihan hero untuk dipakai dan banyak skin untuk dikoleksi,4,Positif,gamenya bagus. mudah dimainkan banyak pilihan hero untuk dipakai dan banyak skin untuk dikoleksi,gamenya bagus mudah dimainkan banyak pilihan hero untuk dipakai dan banyak skin untuk dikoleksi,"['gamenya', 'bagus', 'mudah', 'dimainkan', 'banyak', 'pilihan', 'hero', 'untuk', 'dipakai', 'dan', 'banyak', 'skin', 'untuk', 'dikoleksi']","['gamenya', 'bagus', 'mudah', 'dimainkan', 'pilihan', 'hero', 'dipakai', 'skin', 'dikoleksi']","['gamenya', 'bagus', 'mudah', 'dimainkan', 'pilihan', 'hero', 'dipakai', 'skin', 'dikoleksi']","['gamenya', 'bagus', 'mudah', 'main', 'pilih', 'hero', 'pakai', 'skin', 'koleksi']"
"game nya bagus sekali grafiknya bagus banget untuk ukuran game ringan, permainan sangat asik. Sehat selalu moonton",4,Positif,"game nya bagus sekali grafiknya bagus banget untuk ukuran game ringan, permainan sangat asik. sehat selalu moonton",game nya bagus sekali grafiknya bagus banget untuk ukuran game ringan permainan sangat asik sehat selalu moonton,"['game', 'nya', 'bagus', 'sekali', 'grafiknya', 'bagus', 'banget', 'untuk', 'ukuran', 'game', 'ringan', 'permainan', 'sangat', 'asik', 'sehat', 'selalu', 'moonton']","['game', 'nya', 'bagus', 'grafiknya', 'bagus', 'banget', 'ukuran', 'game', 'ringan', 'permainan', 'asik', 'sehat', 'moonton']","['game', 'nya', 'bagus', 'grafiknya', 'bagus', 'banget', 'ukuran', 'game', 'ringan', 'permainan', 'asik', 'sehat', 'moonton']","['game', 'nya', 'bagus', 'grafik', 'bagus', 'banget', 'ukur', 'game', 'ringan', 'main', 'asik', 'sehat', 'moonton']"
game mobile legends adalah game terbaik yang saya mainkan dari awal rilis sampe sekarang,4,Positif,game mobile legends adalah game terbaik yang saya mainkan dari awal rilis sampe sekarang,game mobile legends adalah game terbaik yang saya mainkan dari awal rilis sampe sekarang,"['game', 'mobile', 'legends', 'adalah', 'game', 'terbaik', 'yang', 'saya', 'mainkan', 'dari', 'awal', 'rilis', 'sampe', 'sekarang']","['game', 'mobile', 'legends', 'game', 'terbaik', 'mainkan', 'rilis', 'sampe']","['game', 'mobile', 'legends', 'game', 'terbaik', 'mainkan', 'rilis', 'sampe']","['game', 'mobile', 'legends', 'game', 'baik', 'main', 'rilis', 'sampe']"
mlbb sangat keren bagus. Banyak skin gratis yang dapat diperoleh dari event tertentu. Heronya jg bnyak,4,Positif,mlbb sangat keren bagus. banyak skin gratis yang dapat diperoleh dari event tertentu. heronya jg bnyak,mlbb sangat keren bagus banyak skin gratis yang dapat diperoleh dari event tertentu heronya jg bnyak,"['mlbb', 'sangat', 'keren', 'bagus', 'banyak', 'skin', 'gratis', 'yang', 'dapat', 'diperoleh', 'dari', 'event', 'tertentu', 'heronya', 'jg', 'bnyak']","['mlbb', 'keren', 'bagus', 'skin', 'gratis', 'diperoleh', 'event', 'heronya', 'jg', 'bnyak']","['mlbb', 'keren', 'bagus', 'skin', 'gratis', 'diperoleh', 'event', 'heronya', 'jg', 'bnyak']","['mlbb', 'keren', 'bagus', 'skin', 'gratis', 'oleh', 'event', 'hero', 'jg', 'bnyak']"
saya seneng banget main game ini selalu saya mainkan setiap saat dengan grafik yang semakin bagus,4,Positif,saya seneng banget main game ini selalu saya mainkan setiap saat dengan grafik yang semakin bagus,saya seneng banget main game ini selalu saya mainkan setiap saat dengan grafik yang semakin bagus,"['saya', 'seneng', 'banget', 'main', 'game', 'ini', 'selalu', 'saya', 'mainkan', 'setiap', 'saat', 'dengan', 'grafik', 'yang', 'semakin', 'bagus']","['seneng', 'banget', 'main', 'game', 'mainkan', 'grafik', 'bagus']","['seneng', 'banget', 'main', 'game', 'mainkan', 'grafik', 'bagus']","['neng', 'banget', 'main', 'game', 'main', 'grafik', 'bagus']"
game nya keren palagi sekarang sedang ada event yg sangat menarik,4,Positif,game nya keren palagi sekarang sedang ada event yg sangat menarik,game nya keren palagi sekarang sedang ada event yg sangat menarik,"['game', 'nya', 'keren', 'palagi', 'sekarang', 'sedang', 'ada', 'event', 'yg', 'sangat', 'menarik']","['game', 'nya', 'keren', 'palagi', 'event', 'yg', 'menarik']","['game', 'nya', 'keren', 'palagi', 'event', 'yg', 'menarik']","['game', 'nya', 'keren', 'palagi', 'event', 'yg', 'tarik']"
setelah update keren. Jaringan stabil grafik mantap. Rekan satu tim juga udah seimbang luar biasa,4,Positif,setelah update keren. jaringan stabil grafik mantap. rekan satu tim juga udah seimbang luar biasa,setelah update keren jaringan stabil grafik mantap rekan satu tim juga udah seimbang luar biasa,"['setelah', 'update', 'keren', 'jaringan', 'stabil', 'grafik', 'mantap', 'rekan', 'satu', 'tim', 'juga', 'udah', 'seimbang', 'luar', 'biasa']","['update', 'keren', 'jaringan', 'stabil', 'grafik', 'mantap', 'rekan', 'tim', 'udah', 'seimbang']","['update', 'keren', 'jaringan', 'stabil', 'grafik', 'mantap', 'rekan', 'tim', 'udah', 'seimbang']","['update', 'keren', 'jaring', 'stabil', 'grafik', 'mantap', 'rekan', 'tim', 'udah', 'imbang']"
game bagus banget dan grafis juga keren. Yg gak download rugi banget tidak boros baterai. Saya kasih bintang 5 karena terbukti bagus dan nyaman saat dimainkan,4,Positif,game bagus banget dan grafis juga keren. yg gak download rugi banget tidak boros baterai. saya kasih bintang 5 karena terbukti bagus dan nyaman saat dimainkan,game bagus banget dan grafis juga keren yg gak download rugi banget tidak boros baterai saya kasih bintang karena terbukti bagus dan nyaman saat dimainkan,"['game', 'bagus', 'banget', 'dan', 'grafis', 'juga', 'keren', 'yg', 'gak', 'download', 'rugi', 'banget', 'tidak', 'boros', 'baterai', 'saya', 'kasih', 'bintang', 'karena', 'terbukti', 'bagus', 'dan', 'nyaman', 'saat', 'dimainkan']","['game', 'bagus', 'banget', 'grafis', 'keren', 'yg', 'gak', 'download', 'rugi', 'banget', 'boros', 'baterai', 'kasih', 'bintang', 'terbukti', 'bagus', 'nyaman', 'dimainkan']","['game', 'bagus', 'banget', 'grafis', 'keren', 'yg', 'gak', 'download', 'rugi', 'banget', 'boros', 'baterai', 'kasih', 'bintang', 'terbukti', 'bagus', 'nyaman', 'dimainkan']","['game', 'bagus', 'banget', 'grafis', 'keren', 'yg', 'gak', 'download', 'rugi', 'banget', 'boros', 'baterai', 'kasih', 'bintang', 'bukti', 'bagus', 'nyaman', 'main']"
saya sangat senang untuk bermain game ini karena dapat mengisi waktu luang saya. Game nya keren deh pokoknya semangat terus moonton,4,Positif,saya sangat senang untuk bermain game ini karena dapat mengisi waktu luang saya. game nya keren deh pokoknya semangat terus moonton,saya sangat senang untuk bermain game ini karena dapat mengisi waktu luang saya game nya keren deh pokoknya semangat terus moonton,"['saya', 'sangat', 'senang', 'untuk', 'bermain', 'game', 'ini', 'karena', 'dapat', 'mengisi', 'waktu', 'luang', 'saya', 'game', 'nya', 'keren', 'deh', 'pokoknya', 'semangat', 'terus', 'moonton']","['senang', 'bermain', 'game', 'mengisi', 'luang', 'game', 'nya', 'keren', 'deh', 'pokoknya', 'semangat', 'moonton']","['senang', 'bermain', 'game', 'mengisi', 'luang', 'game', 'nya', 'keren', 'deh', 'pokoknya', 'semangat', 'moonton']","['senang', 'main', 'game', 'isi', 'luang', 'game', 'nya', 'keren', 'deh', 'pokok', 'semangat', 'moonton']"
